JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AN	A NOUVEAU	AN000001	20200101	16510000	DEPOT DE GARANTIE/RESERVATION			SAN1	20170101	S.A.N.	0,00	40678,00			20180504		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00000006	SUPERMAN	19	20170330	VIRT CPTE A CPTE ME SUPERMAN	2803,08	0,00			20180504		
AN	A NOUVEAU	AN000001	20200101	41100000	COMPTE COLLECTIF CLIENTS	05000100	CLIENT A	2	20170609	VENTE APPT CLIENT A	607900,00	0,00			20180504		
AN	A NOUVEAU	AN000001	20200101	41100000	COMPTE COLLECTIF CLIENTS	05000100	CLIENT A	21	20170613	SUPERMAN/CLIENT A	0,00	212765,00			20180504		
AN	A NOUVEAU	AN000001	20200101	16510000	DEPOT DE GARANTIE/RESERVATION			35	20170613	DEPOT GARANTIE CLIENT A NA	11858,00	0,00			20180504		
AN	A NOUVEAU	AN000001	20200101	16510000	DEPOT DE GARANTIE/RESERVATION			34	20170615	DEPOT GARANTIE CLIENT B NA	22500,00	0,00			20180504		
AN	A NOUVEAU	AN000001	20200101	16510000	DEPOT DE GARANTIE/RESERVATION			37	20170704	VIRT DEPOT GARANTIE ...	6320,00	0,00			20180504		
AN	A NOUVEAU	AN000001	20200101	41100000	COMPTE COLLECTIF CLIENTS	05004000	CLIENT G	5	20170928	VENTE APPT CLIENT G	450000,00	0,00			20180504		
AN	A NOUVEAU	AN000001	20200101	41100000	COMPTE COLLECTIF CLIENTS	05004000	CLIENT G	33	20171002	9SUPERMAN/ CLIENT G	0,00	265500,00			20180504		
AN	A NOUVEAU	AN000001	20200101	41100000	COMPTE COLLECTIF CLIENTS	05000500	CLIENT C	6	20171121	VENTES PARCELLE BT336-337	125000,00	0,00			20180504		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00200004	TULIP	4	20180101	TULIP RG 5%/DECOMPTE N°1	0,00	87,36			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00200004	TULIP	6	20180101	TULIP RG 5%/DECOMPTE N°2	0,00	93,47			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00300002	LEGOLAS	13	20180101	DPL LEGOLAS RG 5%/FACT04279	0,00	1278,42			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			3	20180101	1% PRORATO/FRE ATHENA 5027 28/12	0,00	66,87			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			5	20180101	TULIP PRORATA 1%/SIT.N°2	0,00	21,54			20190507		
AN	A NOUVEAU	AN000001	20200101	41100000	COMPTE COLLECTIF CLIENTS	05000100	CLIENT A	3	20180110	SUPERMAN/CLIENT A SGARD	0,00	182370,00			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00300002	LEGOLAS	5	20180126	4300 SIT.N°2 LEGOLAS	0,00	20804,51			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			5	20180126	4300 SIT.N°2 LEGOLAS 1%PRORA	0,00	468,42			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01500004	MITTERAND	8	20180215	+117 MITTERAND 1% PRORA	0,00	161,62			20190507		
AN	A NOUVEAU	AN000001	20200101	41100000	COMPTE COLLECTIF CLIENTS	05004000	CLIENT G	7	20180216	SUPERMAN/SCI DES CLIENT G	0,00	49500,00			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			10	20180220	4309 SIT.N°3 LEGOLAS 1% PROR	0,00	275,31			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01500002	SARKOZY	16.1	20180223	SARKOZY SIT.13	0,00	20326,75			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01500002	SARKOZY	16.1	20180223	SARKOZY SIT.13 RG	0,00	112,27			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			14	20180228	28130 APPOLLON 1% PRORATA	0,00	237,81			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			15	20180228	576 ATHENA	0,00	368,59			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			16	20180228	577  ATHENA	0,00	82,28			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00300002	LEGOLAS	8	20180301	FRE 4300 LEGOLAS	21060,21	0,00			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			19	20180315	9557 BOROMIR	0,00	356,81			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			22	20180319	2.0166.06 SCHRADER 1% PRORATA	0,00	712,54			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			23	20180320	 LEGOLAS SIT. N°4 1%PRORATA	0,00	114,97			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			24	20180322	1008 ATHENA	0,00	58,82			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			25	20180322	1009 ATHENA	0,00	54,14			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			26	20180323	1803.35 FRING 1% PRORATA	0,00	173,56			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01200001	NAPOLEON I	28	20180327	SIT.1803027 NAPOLEON I RG 5%	0,00	373,11			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01900000	SABINI	27	20180327	56 SABINI RG 5%	0,00	669,81			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			27	20180327	56 SABINI 1%PRORATA	0,00	135,31			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	02100200	TYLER DURDEN	11	20180330	TYLER DURDEN ACOMPTE	837,00	0,00			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	02100200	TYLER DURDEN	35.2	20180411	13S000218-1258  TYLER DURDEN	0,00	3195,73			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			32	20180416	130 MITTERAND 1%PRORATA	0,00	267,84			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			33	20180420	4356 LEGOLAS	0,00	160,76			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			35.3	20180430	FRING SIT.2 1% PRORATA	0,00	85,25			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			36	20180503	181744 SPARROW	0,00	262,07			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			40	20180519	28730 APPOLLON 1% PRORATA	0,00	2967,42			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			39	20180519	28732 APPOLLON 1% PRORATA	0,00	21,38			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			41	20180520	139 MITTERAND	0,00	98,46			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			42	20180521	4370 LEGOLAS	0,00	137,09			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00200004	TULIP	43	20180524	DECPTE N° 3 TULIP 5 % RG	0,00	1273,67			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			43	20180524	DECPTE N° 3 TULIP	0,00	272,29			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01900000	SABINI	53	20180604	137 SABINI RG 5%	0,00	1287,02			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			53	20180604	137 SABINI 1%PRORATA	0,00	260,00			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00600002	SPIDERMAN	23	20180608	ACPTE 077 SPIDERMAN	5000,00	0,00			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			56	20180615	9677 BOROMIR	0,00	263,62			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			57	20180615	9678 BOROMIR 1% PRORATA	0,00	210,80			20190507		
